posting_date,amount,account,account_name,cost_center,profit_center,vendor,customer,document_no,text
2024-04-01,56334.48,4000,Umsatzerlöse Labordiagnostik,CC100,PC-DIAG,,Städtisches Klinikum Stuttgart,RE100001,Projektabrechnung Q2
2024-04-01,14148.22,4020,Umsatzerlöse Schulungen,CC200,PC-TRAIN,,Charité Berlin,RE100042,Diagnostik Auftrag 100042
2024-04-02,-6450.71,5010,Material Verbrauchsmittel,CC200,PC-ADMIN,Fisher Scientific,,BK100226,Verbrauchsmaterial April
2024-04-02,-6376.28,6200,Wartung Geräte,CC300,PC-DIAG,Siemens Healthineers,,BK100279,Große Revision Cobas
2024-04-03,1847.03,4100,Sonstige Erlöse,CC200,PC-DIAG,,Städtisches Klinikum Stuttgart,RE100025,Projektabrechnung Q2
2024-04-03,4926.35,4100,Sonstige Erlöse,CC300,PC-DIAG,,Universitätsklinikum München,RE100049,Beratungsleistung
2024-04-03,11131.33,4020,Umsatzerlöse Schulungen,CC200,PC-CONSULT,,MVZ Labor Bremen,RE100144,Rahmenvertrag Abrechnung
2024-04-03,-16831.68,5000,Material Reagenzien,CC300,PC-CONSULT,Roche Diagnostics,,BK100215,Reagenzien April
2024-04-03,-14604.86,5010,Material Verbrauchsmittel,CC300,PC-CONSULT,Fisher Scientific,,BK100238,Pipettenspitzen
2024-04-03,-7230.48,5010,Material Verbrauchsmittel,CC400,PC-ADMIN,Fisher Scientific,,BK100245,Handschuhe Nachbestellung
2024-04-03,-181818.47,6000,Personalkosten Gehälter,CC200,PC-ADMIN,Lohnbüro Müller,,BK100268,Lohnabrechnung April
2024-04-04,-16897.07,5010,Material Verbrauchsmittel,CC500,PC-DIAG,Fisher Scientific,,BK100230,Verbrauchsmaterial April
2024-04-04,-7726.84,6200,Wartung Geräte,CC200,PC-CONSULT,Roche Diagnostics,,BK100283,Inspektion Automat
2024-04-05,14181.07,4020,Umsatzerlöse Schulungen,CC200,PC-DIAG,,Charité Berlin,RE100045,Rahmenvertrag Abrechnung
2024-04-05,-34668.72,5000,Material Reagenzien,CC400,PC-ADMIN,Roche Diagnostics,,BK100169,Reagenzien April
2024-04-05,-15238.73,5000,Material Reagenzien,CC100,PC-CONSULT,Siemens Healthineers,,BK100200,Lieferung Testkits
2024-04-05,-2277.43,5020,Fremdleistungen Labor,CC300,PC-ADMIN,Sonic Healthcare,,BK100249,Externe Laborleistung
2024-04-05,-10085.46,6400,Reisekosten,CC500,PC-TRAIN,Deutsche Bahn,,BK100319,Kundenbesuch
2024-04-05,-10574.02,6600,Versicherungen,CC500,PC-TRAIN,AXA,,BK100336,Betriebshaftpflicht Q2
2024-04-06,82829.74,4000,Umsatzerlöse Labordiagnostik,CC200,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100033,Laboranalysen April
2024-04-06,12692.97,4010,Umsatzerlöse Beratung,CC100,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100110,Rahmenvertrag Abrechnung
2024-04-07,-18669.29,5000,Material Reagenzien,CC200,PC-CONSULT,Beckman Coulter,,BK100214,Lieferung Testkits
2024-04-07,-16731.08,6300,IT-Kosten,CC300,PC-CONSULT,Microsoft,,BK100301,Serverkosten April
2024-04-07,-2278.53,6600,Versicherungen,CC500,PC-DIAG,Allianz,,BK100334,Geräteversicherung
2024-04-07,-18124.19,6900,Sonstige Aufwendungen,CC100,PC-DIAG,Diverse,,BK100365,Kleinmaterial
2024-04-08,13114.22,4020,Umsatzerlöse Schulungen,CC100,PC-CONSULT,,Krankenhaus Nordwest,RE100011,Beratungsleistung
2024-04-08,2000.1,4100,Sonstige Erlöse,CC300,PC-TRAIN,,MVZ Labor Bremen,RE100013,Rahmenvertrag Abrechnung
2024-04-08,53657.6,4000,Umsatzerlöse Labordiagnostik,CC100,PC-CONSULT,,Charité Berlin,RE100126,Rahmenvertrag Abrechnung
2024-04-08,-22427.06,5000,Material Reagenzien,CC400,PC-TRAIN,Beckman Coulter,,BK100197,Reagenzien April
2024-04-08,-16517.36,5010,Material Verbrauchsmittel,CC400,PC-DIAG,Fisher Scientific,,BK100223,Pipettenspitzen
2024-04-08,-6348.08,6200,Wartung Geräte,CC300,PC-TRAIN,Roche Diagnostics,,BK100296,Service Zentrifuge
2024-04-09,7627.94,4100,Sonstige Erlöse,CC300,PC-TRAIN,,Krankenhaus Nordwest,RE100023,Laboranalysen April
2024-04-09,3850.29,4020,Umsatzerlöse Schulungen,CC300,PC-CONSULT,,Städtisches Klinikum Stuttgart,RE100027,Projektabrechnung Q2
2024-04-09,64948.14,4000,Umsatzerlöse Labordiagnostik,CC200,PC-CONSULT,,Charité Berlin,RE100073,Laboranalysen April
2024-04-09,6319.93,4100,Sonstige Erlöse,CC300,PC-DIAG,,MVZ Labor Bremen,RE100124,Schulung Laborpersonal
2024-04-09,-4729.74,5020,Fremdleistungen Labor,CC200,PC-TRAIN,Sonic Healthcare,,BK100265,Externe Laborleistung
2024-04-09,-8287.91,6400,Reisekosten,CC300,PC-TRAIN,Deutsche Bahn,,BK100315,Kongress Teilnahme
2024-04-10,19604.24,4010,Umsatzerlöse Beratung,CC200,PC-DIAG,,Praxis Dr. Weber,RE100050,Laboranalysen April
2024-04-10,4297.18,4020,Umsatzerlöse Schulungen,CC300,PC-TRAIN,,Krankenhaus Nordwest,RE100086,Schulung Laborpersonal
2024-04-10,3038.82,4100,Sonstige Erlöse,CC300,PC-CONSULT,,Labor Gemeinschaft Bayern,RE100111,Diagnostik Auftrag 100111
2024-04-10,11788.32,4020,Umsatzerlöse Schulungen,CC200,PC-TRAIN,,Krankenhaus Nordwest,RE100151,Laboranalysen April
2024-04-10,9224.36,4010,Umsatzerlöse Beratung,CC200,PC-DIAG,,Charité Berlin,RE100159,Laboranalysen April
2024-04-10,-32128.72,5000,Material Reagenzien,CC100,PC-CONSULT,Beckman Coulter,,BK100190,Nachbestellung Assays
2024-04-11,13841.09,4020,Umsatzerlöse Schulungen,CC100,PC-CONSULT,,Praxis Dr. Weber,RE100140,Beratungsleistung
2024-04-11,-35974.74,5000,Material Reagenzien,CC200,PC-CONSULT,Roche Diagnostics,,BK100166,Nachbestellung Assays
2024-04-11,-29331.9,5000,Material Reagenzien,CC300,PC-TRAIN,Roche Diagnostics,,BK100173,Lieferung Testkits
2024-04-11,-11874.93,5000,Material Reagenzien,CC100,PC-ADMIN,Beckman Coulter,,BK100196,Nachbestellung Assays
2024-04-11,-18685.69,5010,Material Verbrauchsmittel,CC300,PC-CONSULT,Merck,,BK100225,Verbrauchsmaterial April
2024-04-12,21658.89,4010,Umsatzerlöse Beratung,CC100,PC-DIAG,,Praxis Dr. Weber,RE100043,Beratungsleistung
2024-04-12,-38814.94,5000,Material Reagenzien,CC300,PC-CONSULT,Abbott,,BK100182,Reagenzien April
2024-04-12,-11526.41,5020,Fremdleistungen Labor,CC500,PC-CONSULT,Bioscientia,,BK100259,Externe Laborleistung
2024-04-12,-19226.66,6800,Fortbildung,CC200,PC-CONSULT,Springer Verlag,,BK100361,Zertifizierung
2024-04-13,7317.1,4100,Sonstige Erlöse,CC100,PC-CONSULT,,MVZ Labor Bremen,RE100034,Schulung Laborpersonal
2024-04-13,-23145.75,5000,Material Reagenzien,CC400,PC-DIAG,Beckman Coulter,,BK100160,Lieferung Testkits
2024-04-13,-16035.26,5000,Material Reagenzien,CC100,PC-CONSULT,Roche Diagnostics,,BK100163,Chemikalien Q2
2024-04-13,-26303.29,5000,Material Reagenzien,CC100,PC-ADMIN,Siemens Healthineers,,BK100193,Nachbestellung Assays
2024-04-13,-3613.89,6200,Wartung Geräte,CC300,PC-TRAIN,Siemens Healthineers,,BK100281,Service Zentrifuge
2024-04-13,-9051.07,6200,Wartung Geräte,CC500,PC-DIAG,Siemens Healthineers,,BK100282,Inspektion Automat
2024-04-14,34357.56,4010,Umsatzerlöse Beratung,CC100,PC-DIAG,,Praxis Dr. Weber,RE100052,Schulung Laborpersonal
2024-04-14,1107.43,4100,Sonstige Erlöse,CC300,PC-DIAG,,Charité Berlin,RE100135,Schulung Laborpersonal
2024-04-14,-12446.61,5010,Material Verbrauchsmittel,CC300,PC-TRAIN,VWR International,,BK100244,Verbrauchsmaterial April
2024-04-14,-10554.41,5020,Fremdleistungen Labor,CC500,PC-CONSULT,Synlab,,BK100263,Fremdanalyse Spezialtest
2024-04-14,-4607.22,6200,Wartung Geräte,CC400,PC-TRAIN,Roche Diagnostics,,BK100280,Inspektion Automat
2024-04-14,-7546.05,6500,Beratungskosten,CC100,PC-DIAG,McKinsey,,BK100327,Gutachten
2024-04-14,-5410.74,6900,Sonstige Aufwendungen,CC500,PC-ADMIN,Diverse,,BK100370,Kleinmaterial
2024-04-15,2748.65,4100,Sonstige Erlöse,CC300,PC-DIAG,,Universitätsklinikum München,RE100032,Rahmenvertrag Abrechnung
